user,time,button,state,x,y
Nikita,1649452732.4027882,NoButton,Move,894,524
Nikita,1649452732.4037952,NoButton,Move,895,526
Nikita,1649452732.4047947,NoButton,Move,896,529
Nikita,1649452732.4057944,NoButton,Move,899,533
Nikita,1649452732.4062653,NoButton,Move,900,534
Nikita,1649452732.4072733,NoButton,Move,901,536
Nikita,1649452732.408272,NoButton,Move,902,538
Nikita,1649452732.409272,NoButton,Move,905,542
Nikita,1649452732.4102743,NoButton,Move,906,543
Nikita,1649452732.4112732,NoButton,Move,907,546
Nikita,1649452732.4122722,NoButton,Move,910,548
Nikita,1649452732.4132738,NoButton,Move,912,552
Nikita,1649452732.4142745,NoButton,Move,914,555
Nikita,1649452732.4152763,NoButton,Move,915,559
Nikita,1649452732.416275,NoButton,Move,916,560
Nikita,1649452732.417273,NoButton,Move,917,561
Nikita,1649452732.4182734,NoButton,Move,918,563
Nikita,1649452732.4192722,NoButton,Move,919,565
Nikita,1649452732.4202726,NoButton,Move,922,568
Nikita,1649452732.4212718,NoButton,Move,923,571
Nikita,1649452732.4222724,NoButton,Move,924,574
Nikita,1649452732.4232738,NoButton,Move,926,577
Nikita,1649452732.4242716,NoButton,Move,928,578
Nikita,1649452732.4252722,NoButton,Move,929,581
Nikita,1649452732.4267888,NoButton,Move,931,583
Nikita,1649452732.4277954,NoButton,Move,932,586
Nikita,1649452732.4287944,NoButton,Move,933,588
Nikita,1649452732.4297943,NoButton,Move,934,589
Nikita,1649452732.4307978,NoButton,Move,935,590
Nikita,1649452732.4317966,NoButton,Move,936,592
Nikita,1649452732.432796,NoButton,Move,937,595
Nikita,1649452732.4337957,NoButton,Move,939,597
Nikita,1649452732.4347956,NoButton,Move,939,600
Nikita,1649452732.4357948,NoButton,Move,941,601
Nikita,1649452732.4367912,NoButton,Move,942,605
Nikita,1649452732.437797,NoButton,Move,944,607
Nikita,1649452732.438797,NoButton,Move,945,610
Nikita,1649452732.439797,NoButton,Move,946,612
Nikita,1649452732.4407897,NoButton,Move,947,613
Nikita,1649452732.4417949,NoButton,Move,948,614
Nikita,1649452732.4427948,NoButton,Move,948,615
Nikita,1649452732.4437945,NoButton,Move,949,617
Nikita,1649452732.4447947,NoButton,Move,951,620
Nikita,1649452732.445795,NoButton,Move,952,621
Nikita,1649452732.4467952,NoButton,Move,953,623
Nikita,1649452732.4477966,NoButton,Move,954,624
Nikita,1649452732.4487967,NoButton,Move,954,626
Nikita,1649452732.4497964,NoButton,Move,955,627
Nikita,1649452732.450795,NoButton,Move,956,630
Nikita,1649452732.451795,NoButton,Move,957,631
Nikita,1649452732.4527948,NoButton,Move,957,632
Nikita,1649452732.453795,NoButton,Move,958,634
Nikita,1649452732.4547956,NoButton,Move,959,635
Nikita,1649452732.455795,NoButton,Move,960,636
Nikita,1649452732.456796,NoButton,Move,960,638
Nikita,1649452732.4577956,NoButton,Move,961,639
Nikita,1649452732.458796,NoButton,Move,961,640
Nikita,1649452732.4597957,NoButton,Move,962,641
Nikita,1649452732.4607954,NoButton,Move,963,643
Nikita,1649452732.4617949,NoButton,Move,963,644
Nikita,1649452732.4627957,NoButton,Move,964,646
Nikita,1649452732.4637964,NoButton,Move,964,647
Nikita,1649452732.464797,NoButton,Move,965,649
Nikita,1649452732.4657965,NoButton,Move,966,650
Nikita,1649452732.4667954,NoButton,Move,966,651
Nikita,1649452732.4677956,NoButton,Move,968,653
Nikita,1649452732.468796,NoButton,Move,968,654
Nikita,1649452732.4697955,NoButton,Move,969,655
Nikita,1649452732.470795,NoButton,Move,970,656
Nikita,1649452732.4717946,NoButton,Move,970,657
Nikita,1649452732.4727945,NoButton,Move,971,658
Nikita,1649452732.4737945,NoButton,Move,971,659
Nikita,1649452732.474795,NoButton,Move,972,660
Nikita,1649452732.476803,NoButton,Move,972,661
Nikita,1649452732.4777954,NoButton,Move,973,662
Nikita,1649452732.4787946,NoButton,Move,973,663
Nikita,1649452732.4797955,NoButton,Move,974,664
Nikita,1649452732.4807985,NoButton,Move,974,665
Nikita,1649452732.4828079,NoButton,Move,975,666
Nikita,1649452732.4837952,NoButton,Move,975,667
Nikita,1649452732.485806,NoButton,Move,976,668
Nikita,1649452732.4878063,NoButton,Move,976,669
Nikita,1649452732.488272,NoButton,Move,977,670
